"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"3206",-2.459,-0.439,-1.648,1.532,4.451,308.49,-1.51,0.777,-1.068,1.037,6.861,295.91,-1.132,-0.436,-2.976,0.152,0.315,0.942,7.28,278.67,-0.977,1.649,1.07,0.873,1.516,1.142,2
"2863",-2.511,0.436,-2.404,-2.738,2.337,242.06,2.561,2.905,-3.154,-1.546,3.037,247.73,1.394,-0.514,-3.068,1.656,-1.319,-1.543,2.957,240.91,1.273,0.798,-0.184,0.203,1.528,1.156,2
"6367",0.435,1.819,1.672,-0.564,-1.142,91.52,0.752,-0.205,0.765,0.004,0.402,82.72,0.131,-0.816,-0.38,0.543,-0.896,0.008,0.38,269.36,-0.047,1.795,1.155,-0.93,-1.054,-1.106,2
"3031",-0.301,-1.116,-1.053,0.678,-0.658,155.28,-0.605,1.268,1.207,1.701,-0.942,42.06,-1.553,1.473,0.566,0.096,1.854,1.279,-1.032,47.87,-1.217,0.266,-0.967,-1.044,1.342,1.461,2
"977",-0.235,1.678,1.512,1.377,0.223,78.5,-1.51,1.35,1.902,-0.734,1.435,104.25,0.973,-1.673,-0.915,0.294,0.239,-1.788,0.783,197.64,1.782,0.739,0.52,0.711,-1.038,-1.196,2
"6236",-0.256,0.464,0.573,-0.72,-0.085,93.85,0.752,-0.614,0.259,-0.586,1.125,131.83,0.973,0.012,-0.502,-0.403,-0.153,-0.318,-0.511,254.36,0.373,1.211,0.597,0.155,-0.384,-0.353,2
"4184",-1.417,-0.354,-1.923,0.678,-0.305,287.96,-1.058,2.987,-3.533,0.447,1.332,278.75,-0.29,0.499,-1.464,2.094,-2.001,0.09,1.549,271.16,0.073,-0.171,0.451,0.157,1.341,1.151,2
"5901",-1.186,-0.806,-0.503,0.445,0.884,65.65,-0.605,-0.45,0.322,0.521,2.727,41.14,-0.711,0.665,-1.006,-1.023,0.872,0.218,3.559,111.97,-0.647,2.192,1.199,1.518,1.204,0.852,2
"4048",-0.315,-0.326,-0.091,-1.03,0.355,102.63,0.752,-0.532,0.006,-0.808,0.195,176.83,0.552,0.197,-0.701,0.014,-0.462,-0.262,-0.864,257.8,0.163,2.245,-0.347,-0.767,-0.381,-0.089,2
"6369",-0.059,1.65,1.535,-0.487,-0.261,90.8,0.299,-0.614,0.196,-0.734,1.229,145.51,0.552,-0.991,-0.533,1.895,-1.681,-1.38,1.899,247.66,1.273,0.201,1.044,1.98,-0.571,-0.801,2
"5802",-1.525,0.634,-2.656,1.377,2.645,286.9,-1.51,3.887,-3.596,2.218,3.916,299.81,-2.396,0.275,-1.663,3.075,-2.13,2.673,2.097,303.05,-2.327,0.857,-0.494,0.409,1.345,1.099,2
"3527",0.094,0.634,0.71,0.212,-0.129,84.86,-0.153,0.941,1.649,-0.217,0.299,90.93,0.131,-0.387,-0.105,-0.22,-0.279,-0.196,-0.636,258.02,0.373,-0.13,1.079,0.85,-0.67,-0.753,2
"3711",-1.275,0.351,0.436,0.911,-1.054,76.17,-0.605,1.677,2.218,0.299,-0.063,81.39,-0.29,0.616,-1.144,-0.611,1.641,0.243,-0.427,80.8,0.193,0.798,-0.391,-0.79,0.929,0.897,2
"3061",-2.229,-0.467,-1.74,0.6,3.922,286.24,-0.605,1.596,-2.016,0.89,6.086,288.7,-1.132,0.324,-2.457,1.041,-0.82,0.825,5.828,284.51,-0.767,1.324,0.924,0.619,1.642,1.277,2
"4144",-1.167,0.069,-0.847,3.939,2.954,8.94,-3.772,3.314,0.638,3.989,2.469,13.71,-3.659,0.635,-0.854,2.211,1.424,3.873,2.769,13.06,-3.557,1.276,0.52,-0.189,1.307,1.25,2
"6437",-1.044,0.351,-0.068,3.629,0.663,38.99,-3.772,0.041,0.512,0.89,3.037,50.73,-0.711,0.295,-1.113,0.319,0.612,-0.916,4.766,124.89,1.213,0.81,0.58,0.733,0.675,0.585,2
"5201",-2.678,1.029,-2.633,3.939,4.187,307.89,-4.224,6.26,-4.165,4.875,4.949,316.56,-4.501,-0.417,-3.373,4.336,-2.313,4.403,3.462,315.55,-3.827,0.863,-0.571,-0.166,1.574,1.462,2
"1051",-2.008,-1.003,-0.847,0.911,1.985,25.91,-1.058,0.286,-0.689,1.185,2.882,331.12,-1.132,-0.027,-2.396,0.274,-0.306,1.136,2.188,310.06,-0.827,1.129,0.77,0.619,1.46,1.151,2
"2504",-2.561,-0.495,-0.641,2.076,2.998,28.88,-1.962,2.332,0.891,2.956,5.363,24.68,-2.817,-0.076,-3.113,1.326,1.801,2.78,4.903,29.9,-2.537,1.525,1.388,0.919,1.646,1.206,2
"3720",-0.485,-0.58,-0.274,-0.254,-0.394,89.2,0.299,0.123,0.891,0.447,0.764,63.55,-0.711,0.967,0.032,-1.165,0.719,0.529,0.864,147.82,-0.587,1.436,-0.055,1.15,1.046,0.858,2
"6035",-3.264,-0.326,-0.412,1.532,7.93,67.52,-1.51,2.168,1.523,0.816,9.858,85.44,-0.711,-1.108,-4.075,2.531,2.049,-0.124,12.812,105.04,0.343,1.949,1.371,0.802,1.306,0.886,2
