"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"14",4.671,277.93,-0.153,0.204,-0.942,0.373,5.725,-0.29,-3.526,-0.24,0.472,0.187,5.391,1.52,1.393,2
"218",-0.526,15.97,-1.51,0.859,0.575,1.701,1.177,-1.975,-0.701,-0.245,1.085,1.504,1.331,0.871,1.225,2
"74",3.702,259.39,1.204,2.987,-3.28,-1.546,4.278,1.394,-2.732,1.534,-1.319,-1.237,3.099,0.665,1.522,2
"38",3.262,344.06,-2.415,2.741,-2.522,2.07,5.208,-1.975,-1.999,3.461,-2.675,1.203,5.593,1.381,1.195,2
"18",0.752,102.7,1.204,1.514,1.965,-1.029,2.262,0.973,-2.472,-0.738,1.112,-0.844,0.013,0.504,0.533,2
"185",5.42,281.17,-0.605,3.641,-3.533,1.406,7.533,-1.553,-2.319,3.11,-2.252,1.397,7.804,-0.235,0.712,2
"42",4.055,215.86,3.013,3.396,-1.7,-4.055,3.502,3.499,-2.518,1.595,0.144,-3.187,2.645,0.226,1.256,2
"148",2.954,8.94,-3.772,3.314,0.638,3.989,2.469,-3.659,-0.854,2.211,1.424,3.873,2.769,-0.189,1.307,2
"116",-0.57,300.92,-1.962,3.969,-3.975,1.849,-0.115,-1.975,-0.319,2.327,-2.111,1.111,-0.871,0.042,1.106,2
"49",4.891,320.79,-3.319,3.969,-3.027,3.104,7.12,-2.817,-3.159,3.37,-2.031,2.913,6.94,0.226,1.269,2
"179",4.187,307.89,-4.224,6.26,-4.165,4.875,4.949,-4.501,-3.373,4.336,-2.313,4.403,3.462,-0.166,1.574,2
"85",2.998,28.88,-1.962,2.332,0.891,2.956,5.363,-2.817,-3.113,1.326,1.801,2.78,4.903,0.919,1.646,2
"170",7.182,285.93,-1.058,5.851,-4.986,2.218,10.22,-2.396,-5.633,4.061,-2.816,1.851,9.491,1.473,1.803,2
"91",4.495,59.25,-0.605,0.204,0.133,1.259,3.916,-1.132,-1.189,-0.189,0.94,1.509,5.152,0.758,1.212,2
"50",1.192,232.35,2.561,3.478,-2.964,-3.096,2.727,3.078,-1.693,1.87,-1.083,-2.483,1.989,1.196,1.212,2
"106",2.073,279.86,-0.605,3.559,-3.975,-0.144,2.056,0.131,-1.159,3.09,-2.74,-0.436,0.776,0.988,1.318,2
"184",1.632,331.03,-2.415,1.923,-1.51,2.44,2.004,-2.396,-0.64,1.234,-0.344,2.596,2.645,-0.212,1.256,2
"112",4.011,332.01,-2.415,3.641,-1.068,4.285,4.278,-4.08,-2.106,2.566,0.258,4.306,4.262,0.249,1.287,2
"171",6.433,340.51,-4.224,5.687,-1.763,5.982,10.324,-5.764,-5.923,3.995,-0.466,5.48,8.997,1.035,1.732,2
"24",0.884,276.71,-0.153,4.132,-4.418,0.299,2.521,-0.29,-3.022,2.775,-2.542,0.366,0.393,0.411,1.488,2
"43",5.42,261.25,0.752,0.45,0.006,-0.66,7.791,0.552,-3.617,0.523,1.047,-0.778,8.923,1.635,1.594,2
"204",2.645,286.9,-1.51,3.887,-3.596,2.218,3.916,-2.396,-1.663,3.075,-2.13,2.673,2.097,0.409,1.345,2
"202",11.189,187.07,6.632,7.569,-0.815,-8.262,16.163,7.289,-7.862,8.82,1.092,-10.558,15.414,1.818,1.91,2
"69",-0.614,282.56,0.299,0.368,-1.51,-0.439,0.764,0.131,0.276,0.792,-1.029,-0.471,1.425,1.751,0.834,2
"120",6.785,294.17,-1.058,1.35,-1.131,1.849,7.12,-1.975,-2.716,1.072,-0.351,1.545,7.986,0.665,1.368,2
"196",3.35,234.27,1.204,2.168,-2.522,-1.029,5.931,0.973,-2.762,1.397,-0.866,-1.349,6.466,1.081,1.448,2
"263",-1.142,91.52,0.752,-0.205,0.765,0.004,0.402,0.131,-0.38,0.543,-0.896,0.008,0.38,-0.93,-1.054,2
"136",6.433,245.46,1.204,1.268,-1.447,-1.325,8.412,0.973,-3.8,0.848,-0.039,-1.278,8.819,1.982,1.539,2
"114",4.451,308.49,-1.51,0.777,-1.068,1.037,6.861,-1.132,-2.976,0.152,0.315,0.942,7.28,0.873,1.516,2
"12",-0.041,80.41,-0.153,0.859,1.523,0.594,1.074,-0.29,-1.357,-1.414,0.906,0.355,0.262,2.189,0.717,2
"147",6.697,104.71,0.752,2.086,1.839,-0.956,8.05,0.552,-3.862,1.804,2.517,-1.666,7.885,1.358,1.655,2
"194",11.233,294,-1.962,4.132,-2.774,2.882,13.941,-2.817,-6.228,3.421,-1.433,2.607,14.805,0.965,1.905,2
"119",5.024,285.14,-2.415,6.014,-5.113,2.956,5.725,-2.817,-3.694,4.473,-3.254,2.622,3.166,0.065,1.501,2
"57",10.485,288.62,-1.51,2.987,-1.89,2.661,11.874,-2.396,-5.343,2.683,-0.805,2.561,13.457,1.635,1.603,2
"186",5.332,65.56,-1.058,1.105,-0.183,1.48,8.463,-1.553,-2.869,1.336,0.929,1.269,9.431,0.896,1.074,2
"47",4.539,292.55,-2.867,5.523,-4.291,3.62,6.5,-3.659,-3.633,4.59,-2.999,3.403,5.28,0.111,1.481,2
"122",1.06,78.94,-0.605,3.723,3.798,0.594,2.211,-0.29,-2.93,0.858,2.75,0.218,0.615,-0.212,0.911,2
"131",4.451,341.64,-3.319,2.741,-0.942,3.547,6.19,-3.238,-3.068,1.56,0.273,3.28,5.482,0.273,1.552,2
"48",2.337,268.35,0.299,2.905,-3.28,0.373,4.381,-0.29,-2.869,2.307,-1.974,0.039,3.993,1.566,1.312,2
"159",8.547,341.05,-4.676,4.46,-1.51,4.801,10.324,-4.501,-6.137,3.253,-0.207,4.822,10.029,1.427,1.866,2
"245",0.267,69.83,-2.415,0.777,1.46,0.521,-0.476,-0.711,-1.464,-1.506,0.765,0.146,-1.281,1.797,-0.38,2
"36",7.358,263.45,0.752,3.15,-3.406,0.225,7.688,-0.29,-4.121,2.678,-2.18,-0.007,7.179,0.203,1.442,2
"205",3.174,348.07,-4.676,4.378,-1.068,5.023,3.037,-4.922,-1.067,3.141,0.247,4.888,1.761,0.409,1.339,2
"39",2.337,48.87,-0.605,0.695,-1.194,0.816,4.846,-0.711,-1.327,1.722,-1.258,-0.078,7.041,1.497,1.011,2
"15",2.91,15.5,-1.962,0.777,-0.183,1.849,4.691,-1.975,-3.556,-0.092,0.651,1.647,4.867,1.173,1.43,2
"145",4.407,285.41,-1.51,5.278,-4.923,1.48,5.88,-1.553,-3.144,4.681,-3.708,0.575,4.393,1.104,1.31,2
"181",6.873,39.67,-3.319,5.032,2.408,4.654,8.205,-4.501,-2.655,4.376,3.214,4.802,7.928,-0.097,1.328,2
"152",-0.482,310.69,-2.867,4.705,-4.165,2.735,-0.011,-3.238,-0.182,2.948,-2.527,1.131,0.611,-0.166,0.819,2
"157",5.816,343.65,-4.224,2.987,-0.499,3.842,8.515,-3.238,-4.457,2.216,0.658,3.995,9.041,0.665,1.678,2
"156",5.112,303.9,-3.319,4.951,-4.228,2.44,7.223,-2.396,-4.442,3.537,-2.443,2.183,5.525,1.127,1.683,2
"99",5.552,207.41,4.37,2.332,-0.879,-3.391,7.843,3.078,-3.892,2.033,0.506,-3.728,6.077,1.612,1.741,2
"266",0.663,38.99,-3.772,0.041,0.512,0.89,3.037,-0.711,-1.113,0.319,0.612,-0.916,4.766,0.733,0.675,2
"98",8.811,243.22,2.561,2.496,-2.269,-1.398,9.083,1.394,-5.159,2.083,-0.881,-1.942,8.802,1.381,1.793,2
"203",9.119,50.57,-3.772,7.16,3.861,5.539,11.77,-5.343,-5.969,6.247,5.42,3.801,7.754,0.548,1.556,2
"162",5.244,299.21,-3.319,6.505,-4.986,4.137,6.396,-4.08,-2.365,4.519,-2.74,3.949,4.678,0.665,1.195,2
"224",0.972,340.81,-2.867,2.741,-2.458,2.292,1.901,-2.396,-1.174,1.809,-1.285,1.764,3.025,-0.907,1.125,2
"80",6.741,276.42,-0.153,1.023,-1.194,-0.07,8.153,-0.29,-4.06,0.99,-0.157,-0.461,9.118,1.196,1.669,2
