time	Mslp	P5_f	P5_u	P5_v	P5_z	P5th	P5zh	P8_f	P8_u	P8_v	P8_z	P8th	P8zh	P500	P850	P_f	P_u	P_v	P_z	P_th	P_zh	R500	R850	Rhum	Shum	Temp	precipitation	clazz
1964-01-01	0.91	0.436	0.459	1.454	-0.305	70.09	-1.51	-0.45	0.449	0.373	-0.166	53.75	-0.29	-0.27	1.284	-0.423	-0.153	-0.201	0.82	261.19	0.343	1.099	0.684	0.781	-0.479	-0.501	10.3	1
1964-01-02	0.944	0.803	0.756	1.687	-0.526	71.86	-1.51	-0.696	0.385	0.078	0.04	69.6	0.131	-0.572	1.101	0.746	-0.858	-1.059	1.452	244.27	1.003	2.458	1.122	1.289	-0.673	-0.802	20.7	1
1964-01-03	1.12	1.17	1.077	1.299	-0.482	77.25	-1.058	-1.432	-0.183	-0.144	0.04	45	0.131	-0.845	0.948	1.245	-1.334	-0.793	-0.017	253.73	0.823	0.857	1.517	1.797	-0.896	-1.074	2.1	1
1964-01-04	1.258	1.255	1.214	0.367	-0.129	84.52	-0.153	-1.269	-0.057	-0.07	-0.166	66.09	0.131	-0.962	1.116	0.858	-1.125	-0.109	0.175	266.7	0.403	-1.27	1.217	0.896	-0.954	-0.989	0	-1
1964-01-05	1.258	1.283	1.214	0.057	0.003	86.94	-0.153	-0.778	0.322	-0.07	-0.166	86.22	0.131	-0.904	1.147	0.396	-0.77	-0.17	0.07	264.5	0.253	-0.898	1.397	0.896	-0.895	-0.975	0	-1
1964-01-06	0.938	0.86	0.894	-0.021	0.135	87.49	-0.153	-0.368	0.512	0.373	-0.528	59.13	-0.29	-0.952	0.933	-0.011	-0.355	0.723	0.46	293.06	-0.647	-0.466	0.907	0.249	-0.693	-0.677	0.4	1
1964-01-07	0.565	0.634	0.71	0.367	0.928	83.34	-0.153	-0.287	0.322	0.742	0.144	33.39	-0.711	-1.147	0.597	-0.311	-0.165	0.391	1.643	283.05	-0.437	-0.449	0.451	1.127	-0.637	-0.597	0	-1
1964-01-08	0.809	0.069	0.23	-1.108	-0.35	100.15	1.204	-1.187	-0.247	-0.217	-0.321	200.19	0.131	-0.758	0.673	0.06	-0.42	-0.63	-0.75	247.33	0.553	-0.774	-0.184	0.619	-0.823	-0.794	0	-1
1964-01-09	1.051	0.182	0.321	-1.341	0.135	101.94	1.204	-1.269	-0.183	0.004	-0.373	173.62	0.131	-0.611	0.826	0.66	-0.976	-0.175	-0.249	264.68	0.163	-0.744	0.873	-0.005	-0.956	-0.899	0	-1
1964-01-10	0.968	-0.015	0.184	-0.487	-0.217	92.13	0.299	-0.696	-0.247	0.447	-0.218	170.4	-0.711	-0.426	0.811	0.162	-0.443	0.937	0.289	297.56	-0.887	-0.443	1.199	-0.051	-0.813	-0.78	0	-1
1964-01-11	0.853	-0.157	0.046	0.057	-0.305	83.73	-0.153	-0.614	0.006	0.521	0.247	31.14	-0.711	-0.134	0.78	-0.514	0.369	1.101	-0.42	331.7	-1.247	-0.839	1.294	0.573	-0.629	-0.627	0	-1
1964-01-12	0.612	-0.128	0.023	0.911	0.091	70.75	-1.058	-0.532	0.322	0.373	0.144	46.29	-0.29	-0.378	0.628	-0.896	0.689	0.876	-0.713	347.87	-1.007	-0.768	0.778	0.988	-0.484	-0.566	0	-1
1964-01-13	-0.092	0.69	0.733	0.989	0.619	77.72	-1.058	0.286	0.891	0.742	-0.011	55.42	-0.711	-0.962	-0.212	-0.85	1.161	0.825	0.571	28.98	-0.557	-0.283	-0.356	0.665	-0.312	-0.406	27.5	1
1964-01-14	0.187	1.424	1.352	-0.098	0.531	88.27	0.299	-0.123	0.828	-0.217	-0.115	93.31	0.131	-1.361	-0.228	0.187	-0.534	-0.614	-0.125	249.04	0.703	-0.703	1.019	1.173	-0.874	-0.974	15.2	1
1964-01-15	0.479	1.622	1.489	-1.418	0.399	97.29	1.204	-0.205	0.765	-0.07	-0.27	85.21	0.131	-1.147	0.169	-0.103	-0.408	0.126	-0.188	272.82	-0.047	-1.222	0.667	-0.097	-0.896	-0.876	0	-1
1964-01-16	0.256	1.452	1.375	-0.098	-0.834	88.31	0.299	0.941	1.649	0.004	-0.063	86.01	0.131	-0.923	-0.105	-1.008	0.289	-0.15	0.339	258.06	0.433	-1.063	0.916	0.665	-0.895	-1.013	14.6	1
1964-01-17	0.352	2.779	2.428	0.833	0.091	84.47	-0.605	0.532	1.207	-0.808	-0.011	114.3	0.973	-1.965	-0.594	0.843	-0.793	-1.365	-0.609	235.75	1.633	-1.193	1.388	0.642	-1.353	-1.596	8.9	1
1964-01-18	1.019	3.146	2.748	-0.021	0.663	88.75	0.299	0.204	0.828	-1.103	-0.011	129.83	1.394	-2.569	-0.289	1.026	-0.808	-1.635	-0.965	231.48	1.722	-1.163	0.684	-0.374	-1.657	-2.047	1	1
